food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method,calories_per_g_original
Chapati/Roti,1.9816,0.0588,0.3565,0.0356,0.0631,0.01,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0231
Plain parantha/paratha,2.9474,0.0506,0.3069,0.1686,0.0543,0.0086,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.983
Potato parantha/paratha (Aloo ka parantha/paratha),2.0246,0.037,0.2392,0.1022,0.0418,0.0115,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.0504
Radish parantha/paratha (Mooli ka parantha/paratha),1.8113,0.033,0.2054,0.0953,0.0432,0.0131,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.8352
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),1.7551,0.0373,0.1884,0.0947,0.0468,0.0115,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.7807
Dal parantha/paratha,2.6469,0.0678,0.3003,0.1305,0.0646,0.0143,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.6824
Sprouted moong parantha/paratha,2.2627,0.0429,0.2431,0.1243,0.0449,0.0147,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.2859
Pea parantha/paratha (Matar ka parantha/paratha),1.876,0.0559,0.2151,0.088,0.0561,0.0129,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.9073
Keema parantha/paratha,2.3627,0.0941,0.1836,0.1391,0.0344,0.0099,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.3809
Paneer parantha/paratha,2.6082,0.0798,0.2433,0.1462,0.04,0.0377,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.6297
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),2.1653,0.0554,0.2139,0.1209,0.0439,0.0131,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.1649
Poori,7.3677,0.0135,0.0822,0.7761,0.0146,0.0023,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.3763
Spinach poori (Palak poori),6.8346,0.0142,0.0776,0.7186,0.0155,0.0024,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,6.8425
Methi poori,7.0912,0.0145,0.0798,0.746,0.0161,0.0026,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.1002
Dal stuffed poori,7.8409,0.0208,0.1014,0.8169,0.0196,0.0029,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.8516
Potato stuffed poori (Aloo ki poori),7.7583,0.0152,0.094,0.8135,0.0164,0.0026,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,7.7674
Tandoori parantha/paratha,2.9187,0.0508,0.3074,0.1651,0.0544,0.0086,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,2.9537
Boiled rice (Uble chawal),1.149,0.026,0.2572,0.0018,0.0125,0.0022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1719
Plain pulao,1.3822,0.0234,0.2182,0.0462,0.0169,0.0115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.4021
Mixed vegetable pulao,1.1081,0.0272,0.1749,0.0333,0.0267,0.0135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.1305
Mushroom pulao,1.2243,0.0252,0.1902,0.0403,0.0188,0.01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords,1.2429
